ogno,ogtype,ogname,ogcity,ogstate,ogpin,ogadd
12378,Nurshing Home,New Kumar Nursing Home,Patna,Bihar,800020,"Ashok Nagar, Kankarbagh"
12379,Nurshing Home,New Kumar Nursing Home,Patna,Bihar,801109,Naubatpur
12380,Hospital,New Lakhanpur Hospitaland Trauma Centre,Kanpur Nagar,Uttar Pradesh,208001,"6-A,Lakhanpur,G.T.Road,Near Gurudev Talkies Police Chowki"
12381,Hospital,New Leelamani Hospital,Kanpur Nagar,Uttar Pradesh,208001,Civil Lines 14/116 'C' - 1 Civil Lines Kanpur
12382,MultiSpeciality Hosp,New Life Emergency and Multi Speciality Hospital,Khammam,Telangana,507002,"N. S. T Road, Ho. No. 11-02-94"
12383,Hospital,New Life Hospital,Dahod,Gujarat,389151,"Near Chakaliya Railway Crossing, Godi Road"
12384,Hospital,New Life Hospital,Surat,Gujarat,395003,0
12385,Hospital,New Life Hospital,Indore,Madhya Pradesh,452001,"162/1, Sanwer Road, Near Banganga, Thana"
12386,Hospital,New Life Hospital,Hyderabad,Telangana,500024,"16-6-104 To 109, Kamal Theatre Complex,Chaderghat,Opposite To Hotel Niagara"
12387,Hospital,New Life Hospital,Ghaziabad,Uttar Pradesh,201001,"Abdulpurnistauli, Hindustan Petrolium Co,Nr Tila Mode"
12388,Hospital,New Life Hospital,Varanasi,Uttar Pradesh,221010,"70- Gandhinagar, Sigra Varanasi"
12389,MultiSpeciality Hosp,New Life Line Multi Specialty Hospital,Hyderabad,Telangana,500062,1-1-211 Sai Priya Colony Beside Old Municipal Kapra Office Kapra
12390,Nurshing Home,New Life Line Nursing Home,Medinipur East,West Bengal,721659,"Erashal Po Math,Chandipur,Purba."
12391,Cardiac Hosp,New Life Medical and Heart Hospital,Ahmedabad,Gujarat,380058,"16-17, Samarpan Complex, Ambli-Bopal Ring Road Four Square Ambli"
12392,Cardiac Hosp,New Life Medical and Heart Hospital,Ahmedabad,Gujarat,382443,"203, Parmukh Palace, Near Jay Hind, Char Rasta, Maninagar"
12393,Nurshing Home,New Life Nursing Home,Mumbai,Maharashtra,400101,"11-12/A, Tirupati Tower, Thakur Complex, Kandivali (East), Mumbai,"
12394,Nurshing Home,New Life Nursing Home,Sambalpur,Odisha,768004,"Srit Colony, Budharaja, Sambalpur"
12395,Nurshing Home,New Life Nursing Home,Bardhaman,West Bengal,713409,"Stkk Road, Kalna, Kalna Kalna 713409"
12396,Nurshing Home,New Life Nursing Home,Kolkata,West Bengal,700059,"State Highway 3, Jyangra, Baguiati, Kolkata"
12397,Nurshing Home,New Life Nursing Home (Bolpur),Birbhum,West Bengal,731204,"Chandidas Road, Sian, Bolpur, (Near Bolpur Subdivisional Hospital) (Near Bolpur Subdivisional Hospital)"
12398,Nurshing Home,New Life Nursing Home (Hoogly),Hooghly,West Bengal,712701,"Village & P.O. Sheakhala, P.S. Chanditala"
12399,Nurshing Home,New Ma Sarada Nursing Home,Medinipur East,West Bengal,721152,Vill-Dakshin Mechagram P.O. Uttar Mechagram
12400,Hospital,New Mahajan Hospital,Gurdaspur,Punjab,143602,"Batala Road, Fateh Garh Churian, Gurdaspur,"
12401,Nurshing Home,New Mahendra Maternity and Nursing Home,Nadia,West Bengal,741101,"8/1, R.K.Mitra Lane, Patra Bazar, Krishnagar, Nadia"
12402,Seva sadan-General Hospital,New Matri Seva Sadan,Hooghly,West Bengal,712306,Viii Borai (New Tematha) P O Borai P S Singur Dist Hooghly P S Singur
12403,Hospital,New Medical Center,Puducherry,Puducherry,605001,"470, Mahathma Gandhi Road"
12404,Hospital,New Medical College Hospital,Kota,Rajasthan,324005,Kota
12405,Hospital,New Medicare Centre,Faridabad,Haryana,121001,"1260, Sector-28"
12406,Hospital,New Metro Hospital,Lucknow,Uttar Pradesh,226003,"Opp Patanala, Police Chowki, Near K G M U, Nakkhas Road"
12407,Hospital,New National Hospital,Nashik,Maharashtra,422007,"Kazi Nagar, Opposite Aaiesha Masjid, Wadala Road,"
12408,Nurshing Home,New Nightangle Nursing Home,Murshidabad,West Bengal,742103,Murshidabad
12409,Nurshing Home,New Nirnoy Nursing Home,Kolkata,West Bengal,700004,"2A, Kalachand Sanyal Lane . Kolkata, 700004"
12410,Super Speciality Hospital,New Noble Super Speciality Hospital,Kurnool,Andhra Pradesh,518003,N.R.Pet Op Apollo Hospital
12411,Ortho Hospital,New Noida Fracture and Trauma Care Centre,Gautam Buddha Nagar,Uttar Pradesh,201301,"D-162, Sector-26, Noida"
12412,Hospital,New Panacea Hospital,North 24 Parganas,West Bengal,700121,"29, New Panacea Hospital, Debpukur, P.O -Sewli Telenipara, P.S -Titagarh"
12413,Hospital,New Pandey Hospital,Hoshangabad,Madhya Pradesh,461001,"Shanichara, Hoshangabad"
12414,Hospital,New Patiala Hospital,Fatehgarh Sahib,Punjab,147001,"Opposite Happy Chicken Corner, Bhadson Road Patiala"
12415,Nurshing Home,New Pragathi Nursing Home,Mandya,Karnataka,571401,G. H. Road Ashok Nagar
12416,Nurshing Home,New Rajhans Nursing Home,Bhadohi,Uttar Pradesh,221401,Chauri Road Bhadoi
12417,Hospital,New Raksha Medicare and Research Centre,Kanpur Nagar,Uttar Pradesh,208017,"Plot No.8,Meerut Cold Storage Campus,(Near N.S.I) Kalyanpur"
12418,Seva sadan-General Hospital,New Ramkrishna Seva Sadan,Darjeeling,West Bengal,734001,"Nazrul Sarani, Pakurtala More, Ashrampara, Siliguri"
12419,Hospital,"New Rishikesh Medical Foundation And Research Centre Pvt. Ltd.,",Nashik,Maharashtra,422002,"9, Murkute Colony,Gangapur Road,Opposite Kthm College."
12420,Hospital,New Ruby Hospital Pvt Ltd,Jalandhar,Punjab,144021,"26-Link Road, Lajpat Nagar, Jalandhar City"
12421,Hospital,New Sahara Hospital,Varanasi,Uttar Pradesh,221001,"K-50/125-B, Opp: Yamuna Cinema, Hartirath, Pilikothi, Varanasi Yamuna Cinema"
12422,Hospital,New Saini Hospital,Hoshiarpur,Punjab,146001,"11, Fatehgargh Road,"
12423,Nurshing Home,New Saraju Nursing Home,Kolkata,West Bengal,700002,"No 46/1, Gbt Road, Kolkata"
12424,Nurshing Home,New Sevayan Nursing Home,North 24 Parganas,West Bengal,700124,"66/2 Nivedita Place, Near Bijaya Cinema, Taki Road, Barasat"
12425,Ortho Hospital,New Shalby Orthopaedic and Research Center,Ahmedabad,Gujarat,380009,"6-Rupam Society, Navrangpura"
12426,Nurshing Home,New Suhani Nursing Home,Kanpur Nagar,Uttar Pradesh,208002,"53,Mainawati Marg, Near Jageshwar Mandir"
12427,Hospital,New Swasthya Sadan,Dungarpur,Rajasthan,314001,"Vijai Bhawan Kothi, Opposite Raj Shree Takies, Udaipur Road"
12428,MultiSpeciality Hosp,New Swastik Multi Speciality Hospital,Thane,Maharashtra,421005,"Block No.895/1789, Near Gurunanik School, Kurla Camp Road"
12429,Hospital,New Tech Surgical Hospital,Surat,Gujarat,395009,"2001, 2Nd Floor, Riddhi Residency,Beside Jalram Temple, L.P.Savani Road,Adajan"
12430,Nurshing Home,New Town Nursing Home And Diagnostic Co (P) Ltd,Kolkata,West Bengal,700059,"Rajarhat Road, Jyangra, Taltala Baguiati , Kolkata"
12431,Nurshing Home,New Union Nursing Home Pvt. Ltd.,Kolkata,West Bengal,700017,"6, Robinson Street, Kolkata,"
12432,Hospital,New Vivekananda Nurshinhg Home,Medinipur East,West Bengal,721636,Padumbasan Purba Medinipur
12433,Nurshing Home,New Wadhwa Nursing Home,Mewat,Haryana,122107,"Alwar Bypass, Ward No. 3, Firozpur, Zirkha Mewat(Nuh)"
12434,Hospital,New Yashlok Hospital,Azamgarh,Uttar Pradesh,276001,"Bilariya Ki Chungi,"
12435,Hospital,Newage Medicare,Ahmedabad,Gujarat,380054,"18, Manipushp, Surdhara Circle, Thaltej"
12436,Hospital,Newcare Hospital,Ganjam,Odisha,760001,Brahma Nagar 3Rd Lane
12437,Hospital,Newland Hospital,Bankura,West Bengal,722122,"College Road, Bishnupur, Bankura"
12438,Nurshing Home,Newlife Nursing Home,Kolkata,West Bengal,700059,"Baguihati Jora Mandir, Jyangra,Rajarhat Road"
12439,Nurshing Home,New-Tech Nursing Home,Imphal West,Manipur,795001,"Dharamsala Alu -Gali,Corner, Thangal Bazar,Imphal"
12440,Hospital,Nibha Mitra Memorial Hospital,Bilaspur,Chhattisgarh,495001,Near Gurunanak Chowk Masturi Road
12441,Hospital,Nichani Health Centre,Chennai,Tamil Nadu,600013,"10, Arthoon Road Royapuram"
12442,Hospital,Nicholas Hospital,Alappuzha,Kerala,688537,Nh 47
12443,Hospital,Nidaan Hospital,Katihar,Bihar,854105,"Kali Bada, Binodpur"
12444,Hospital,Nidaan Kendra,Gaya,Bihar,824211,Chandi Asthan.
12445,Nurshing Home,Nidaan Medicare Nursing Home and Maternity Center,Ghaziabad,Uttar Pradesh,201014,"364, Ak- 3, Near St.Fracis School, Indirapuram"
12446,Hospital,Nidan Hospital,Sitamarhi,Bihar,843302,Old Exchange Road
12447,Hospital,Nidan Hospital,Palwal,Haryana,121102,"New Sohna Road, (Civil Hospital Ke Samne), Palwal"
12448,Nurshing Home,Nidan Nursing Home,Hazaribag,Jharkhand,825301,"Pagmal Chowk, Lohsinghna Maidan"
12449,Ortho Hospital,Nidan Orthopaedic Centre,Ranchi,Jharkhand,834003,"Karma Chowk Singh Mode, Kalyan Pur Roadno. 5"
12450,Hospital,Nidhi Hospital,Ahmedabad,Gujarat,380009,"Shreekunj, Patel Park, Stadium Commerce College Road, Navrangpura"
12451,Hospital,Nidhi Hospital,Bharuch,Gujarat,393001,"Sagbara Compound,Nr. Haji Manjil,Opposite Mamta Hospital,Station Road,Ankleshwar-1"
12452,Hospital,Nidhi Hospital,Kheda,Gujarat,387001,
12453,Hospital,Nidhi Hospital,Vadodara,Gujarat,393002,"Opposite Mamta Children Hospital,Station Road"
12454,Nurshing Home,Nidhi Nursing Home and Iccu,Mumbai,Maharashtra,400067,"Neelyog Apts, Ground Floor, M. G. Road-4, Opposite Patel Nagar, Kandivali(W), Mumbai"
12455,Hospital,Nidhi Surgical Hospital and Endoscopy Center,Ahmedabad,Gujarat,380001,Nidhi Complex Opp Mehsan Society
12456,Hospital,Nidhi Surgical Hospital and Endoscopy Centre,Ahmedabad,Gujarat,380013,"Opposite Mehsana Society,Nava Wadaj Road,Bhimjipura"
12457,Hospital,Nigam Ent Hospital,Raipur,Chhattisgarh,492001,Shanti Nagar
12458,Nurshing Home,Night Angel Nursing Home,North 24 Parganas,West Bengal,743145,"Bijoy, Kanchrapara M,"
12459,Hospital,Nightangale Hospital,Kolkata,West Bengal,700071,"11, Shakespeare Sarani"
12460,Hospital,Nightingale Hospital,Guntur,Andhra Pradesh,522124,Lakshmipuram Guntur
12461,Hospital,Nightingale Hospital,Kamrup,Assam,781005,Ganeshguri Dispur Kacharibasti
12462,Hospital,Nightingale Hospital,Hyderabad,Telangana,500059,"H. No. 17-1-383/N S/3&4, Shantosh Nagar X Roads Opp, Amber Biscuit Factory Nagarjuna Sagar Road"
12463,Nurshing Home,Nightingale Nursing Home,Bardhaman,West Bengal,713101,"26, J. B. Mitra Road, (Near Barabazar), Burdwan"
12464,Nurshing Home,Nihaal Nursing Home,Medak,Telangana,502110,Azampura
12465,Hospital,Nihar Hospital,Navsari,Gujarat,396040,"Nava Road, Gandhi Nagar Soc., Gujarat State Highway 701, Khergam"
12466,Hospital,Nihar Hospital,Surat,Gujarat,395003,"102, Samaratkunj Apt, Opp New Pani Ki Tanki, Anand Mahal Road"
12467,Ortho Hospital,Nihar Ortho Center and General Hospital,Hyderabad,Telangana,500007,"8-3-319/8/7, Yellareddyguda, Ameerpet"
12468,Ortho Hospital,Nihar Orthopaedic and Multispeciality Hospital,Hyderabad,Telangana,500038,"8-3-214/2, Opposite Icici Bank, Srinivasa Ngr(W), Ameerpet"
12469,Hospital,Niharika Hospital,Salem,Tamil Nadu,636115,Cuddalore Main Road Valappady
12470,Hospital,Nihit Hospital,Sikar,Rajasthan,332001,"Silver Jubilee Road, N.H -11"
12471,Ortho Hospital,Niidaan Orthopaedics Center,Nagpur,Maharashtra,440001,"Mure Memorial Hospital, Maharajbagh Road, Sitabuldi"
12472,Hospital,Nijjar Hospital,Gurdaspur,Punjab,143521,"Main Jalandhar Road, Batala"
12473,Ortho Hospital,Nikad Ortho Centre,Bengaluru Urban,Karnataka,560042,"No.1 Haudin Road, Off Ulsoor Road"
12474,Hospital,Nikam Parmer Hospital,Raigarh,Maharashtra,410206,"Gul Apt., A Wing, Near Panchratna Hotel,New Uran Rd, Old Panvel"
12475,Hospital,Nikhar Surgical Hospital,Banas kantha,Gujarat,385001,"Pataleshwar Complex, Kirtistambh, Nr.Primary School, Palanpur."
12476,Hospital,Nikhil Hospital,Khammam,Telangana,507117,"H No -11-2-52/1, Balaji Nagar, Beside Old Cpm Office Andhra Bank Line Khammam-507117"
12477,Hospital,Nikhil Hospital,Ranga Reddy,Telangana,500060,"8-3-982. Plot No-145, Srinagar Colony Main Road,Near Satya Sai Kalyana Mandapam"
12478,Hospital,Nikhil Hospitals,Ranga Reddy,Telangana,500060,"16-11-740/3/A,Gaddiannaram X Road, Dilsukhnagar"
12479,Hospital,Nikhil Medical Centre - Faridabad,Faridabad,Haryana,121001,"Main Road, Roshan Nagar, Jagmal Enclave Agwanpur"
12480,Nurshing Home,Nikhil Nursing Home,Y.S.R.,Andhra Pradesh,516434,Holmespet Proddatur Kadapa
12481,Nurshing Home,Nikhil Nursing Home,Damoh,Madhya Pradesh,470661,Vivekananda Marg
12482,Super Speciality Hospital,Nikhil Super Sp Hospital,Hyderabad,Telangana,500020,"Dilkushnagar, Next To Nalanda College"
12483,Hospital,Nikitha Hospital,Visakhapatnam,Andhra Pradesh,530013,"D. No. 54-13-6, Seethammadhara Junction,"
12484,Hospital,Nikos Hospital And Research Centre,Dimapur,Nagaland,797112,"P W D Road, Midland Dimapur"
12485,Hospital,Nikunj Surgical Hospital,Jamnagar,Gujarat,361005,"Opposite Jolly Bunglow, Summair Club Road"
12486,Hospital,Nila Hospital,Namakkal,Tamil Nadu,637001,"743/A-1, A-2, M.N.R Vazhagam Salem Raod"
12487,Hospital,Nila Hospital ( Pvt) Ltd,Palakkad,Kerala,679303,Pattambi
12488,Nurshing Home,Nilachal Nursing Home,Puri,Odisha,752001,"V I P Road, Puri"
12489,Hospital,Nilachal Seba Sadan,Bhadrak,Odisha,756101,"Patharadi Road, Charampa, Bhadrak"
12490,Nurshing Home,Nilam Nursing Home,Dumka,Jharkhand,816107,"Collage Road,Pakur"
12491,Hospital,Nilangekar Hospital,Surat,Gujarat,395003,"Sutmill Road, Singal Camp, Latur"
12492,Hospital,Nilay Hospital,Bhopal,Madhya Pradesh,462016,"74-C, Vidhya Nagar, Hoshangabad Road, Bhopal"
12493,Hospital,Nilima Matri Sadan,Hooghly,West Bengal,712258,"22, Shibnarayan Road, Uttarpara, Hoogly"
12494,Seva sadan-General Hospital,Nilima Seva Sadan,Medinipur East,West Bengal,721172,Kakthia - Tamluk
12495,Hospital,Nilkanth Hospital,Ahmedabad,Gujarat,380008,2 Kumar Flats Nr Indian Society Maninagar
12496,Hospital,Nimai Hospital,Aurangabad,Maharashtra,431005,"Lot No 02, /3 N-9 M-2 Road Ranjan One Housing Society Huddco Aurngabad"
12497,Hospital,Nimapara Area Hospital,Puri,Odisha,752106,Nimapara Area Hosp.
12498,Hospital,Nimar Hospital and Research Centre,Burhanpur,Madhya Pradesh,450331,"Amravati Road,Burhanpur"
12499,Hospital,Nimbalkar Hospital,Pune,Maharashtra,413102,"Patas Road, OppositeGovernment Hospital"
12500,Hospital,Nimisha Medical Centre,Raigarh,Maharashtra,410210,"Secto No.12, Kharghar Navi Mumbai"
12501,Hospital,Nimjai Healthcare( Pvt) L T D,Jalgaon,Maharashtra,425001,"2674/A12, Opposite Session Court Maher Hospital"
12502,Hospital,Nims Hospital,Malappuram,Kerala,679328,"P B No-17,Kalikavu Road Wandoor"
12503,Hospital,Nims Hospital,Thiruvananthapuram,Kerala,695121,Nice Garden Aralummooduro Neyyaitinkara Neyyaitinkara
12504,Hospital,Nimt Hospital,Gautam Buddha Nagar,Uttar Pradesh,201301,"Knowledge Park-I,Plot No-41,Kasna Road,Pari Chowk."
12505,Nurshing Home,Nina Surgical Nursing and Maternity Home,Anand,Gujarat,388001,"Opposite Mercantile Bank, Near Pioneer High School"
12506,Nurshing Home,Ninad Hospital and Nursing Home,Dhule,Maharashtra,424306,"Main Road, Bhajipala Market,Pimpalner,Sakri,"
12507,Ortho Hospital,Nins Brain and Spine Hospital,Chandigarh,Chandigarh,160022,"Sco-341-42, Sector-34A"
12508,Hospital,Nipun Hospital,Shahjahanpur,Uttar Pradesh,242001,"495, Tarin Bahadurganj, Machinery Market"
12509,Nurshing Home,Nipun Nanda Nursing Home,Jalandhar,Punjab,144005,"137, New Jawahar Nagar, Jalandhar City"
12510,Hospital,Niraant Hospital,Surat,Gujarat,395005,"D/4, Jankalyan Society, N/R I N Tekrawala School, Palanpurpatia, Rander Road"
12511,Cardiac Hosp,Niral Heart and Medicare and Skin Clinic,Gandhinagar,Gujarat,382721,"Yogi Complex, Mahendra Mill Road, Near J.P. Commercial Centre, Kalol"
12512,Hospital,Nirala Medical Centre,Lucknow,Uttar Pradesh,226001,"C- 330, Nirala Nagar"
12513,Hospital,Nirala Medical College Hospital and Research Centre,Gumla,Jharkhand,835207,Chetar Lohardagga Road
12514,Nurshing Home,Nirama Nursing Home,North 24 Parganas,West Bengal,743263,"No. 101 / 5, Jessore Rd.(No.1 Rail Gate)"
12515,Hospital,Niramay Hospital,Mahesana,Gujarat,384002,"Patel Chembers, Vrundavan Soc, Dairy Road"
12516,Hospital,Niramay Hospital,Pune,Maharashtra,410504,"Narayan Ghar, Junnoor"
12517,Hospital,Niramay Medical Foundation and Research Centre Pvt. Ltd.,Pune,Maharashtra,413102,"Ashoknagar Bhigwan Road, Baramati. Pune"
12518,MultiSpeciality Hosp,Niramay Multi Speciality Hospital,Ahmedabad,Gujarat,380008,"C/101, Shreepal Commercial Centre, Hatkeshwar Circle"
12519,MultiSpeciality Hosp,Niramay Multi Speciality Hospital,Ahmedabad,Gujarat,380051,Near Platinum Hall Anandnagar Cross Road Ma Anandmayi Marg (100 Ft Road) Satellite
12520,Cancer Care,Niramaya Cancer Hospital,Dhule,Maharashtra,424002,"80 Ft Road,Nr Natraj Theature,Dhule"
12521,Hospital,Niramaya General Hospital,Mumbai,Maharashtra,400071,"B-28/1, Maitri Park, Sion Trombay Road, Next To Maitri Park Bus Stop,Chembur"
12522,Hospital,Niramaya Holistic Health Services Pvt Ltd,Mumbai,Maharashtra,410210,"Plot No.5A, Sector 4, Kharghar"
12523,Hospital,Niramaya Hospital,Bhopal,Madhya Pradesh,462016,"E-2/13, Arera Colony, Opposite Habibganj Railway Station Bhopal"
12524,Hospital,Niramaya Hospital,Kolhapur,Maharashtra,416115,691/1 Niramayee Ring Road Niramayee Ring Road Ichalkuranji
12525,Hospital,Niramaya Hospital,Pune,Maharashtra,411019,"Survey No.4742, Behind Jai Hind Petrol Pump, Next to Chinchwad (E) Post Office, Chinchwad, Pune, Maharashtra."
12526,Hospital,Niramaya Hospital,Raigarh,Maharashtra,410210,"Plot No. 5A, Sector-4, Next To Balbharti School, Kharghar, Navi Mumbai"
12527,Hospital,Niramaya Hospital,Solapur,Maharashtra,413003,"Behind Jai Hind Petrol Pump, Next To Chinchwad (E) Post Office, Pune Next To Chinchwad (E) Post Office, Pune"
12528,Hospital,Niramaya Hospital - Bhind,Bhind,Madhya Pradesh,477001,Bhuta Compound
12529,Hospital,Niramayam Hospital and Prasutigruh,Surat,Gujarat,395005,"Shradhdha Raw-House, Op Zoo, Sarthana Jakatnaka"
12530,Nurshing Home,Niramoy Nursing Home,Birbhum,West Bengal,731224,"National High Road, Bharsalapara, Rampurhat"
12531,Hospital,Niranjan Hopital,Dhule,Maharashtra,424303,"At Post Ner, Tal Dhule,"
12532,Nurshing Home,Niranjan Nursing Home,Pune,Maharashtra,411044,"Flat 71, Sector 24, Near Police Chowki, Pradhikaran, Nigdi"
12533,Nurshing Home,Niranjan Nursing Home (Atole Hospital),Pune,Maharashtra,413102,"Opp Sanskrutik Kendra, Near Ambedkar Stadium Baramati, Pune"
12534,Hospital,Niranjan Pulmocare Hospital,Banas kantha,Gujarat,385535,"Opposite Gayatri Mandir, B/H Paresh Patel`S Hospital, Deesa"
12535,Hospital,Niranjan Smriti Kalyan Kendra Pvt. Ltd.,Bardhaman,West Bengal,713102,"Ranisayar West, Burdwan - 713102"
12536,Nurshing Home,Nirgude Nursing Home,Nashik,Maharashtra,422001,"Model Colony,Shiva Ji Nagar,Nashik Road"
12537,Hospital,Nirmal Ashram Hospital,Dehradun,Uttarakhand,249201,Mayakund Rishikesh
12538,Hospital,Nirmal Hospital,Indore,Madhya Pradesh,452005,"157/3, Shikshak Nagar, 4E Rodrame Road Indore"
12539,Hospital,Nirmal Hospital,Alwar,Rajasthan,301001,"A- 170, Bhagat Singh Colony, Bhiwadi"
12540,Hospital,Nirmal Hospital,Warangal,Telangana,506001,"M.V.Colony, Desaipet Road,"
12541,Hospital,Nirmal Hospital And Laparoscopic Surgery Centre,Raebareli,Uttar Pradesh,229001,"Saket Nagar, (Near C.M.O Office), Jail Road Raebareli"
12542,Hospital,Nirmal Hospital and Lapro Surgery,Bareilly,Uttar Pradesh,243001,Nirala Nagar
12543,Hospital,Nirmal Hospital Pvt.Ltd.,Surat,Gujarat,395002,"Nr.Sub-Jail,Center Point,Ring Road"
12544,Nurshing Home,Nirmal Nursing Home,Kolhapur,Maharashtra,416002,"1273/B, Gune Chambers, Mirajkar Tikti, Mangalwar Peth, Kolhapur"
12545,Nurshing Home,Nirmal Nursing Home,Mumbai,Maharashtra,400014,Gokul 1St Floor Near Senapati Bapat Statue 93 Ranade Road Dadar
12546,Nurshing Home,Nirmal Nursing Home,Tiruchirappalli,Tamil Nadu,621010,Trichy Road Thuraiyau Thuraiyau Trichy
12547,Nurshing Home,Nirmal Nursing Home,Adilabad,Telangana,504106,Thirumala Talkies Road  Adilabad
12548,Nurshing Home,Nirmal Nursing Home - Rsby,Jaunpur,Uttar Pradesh,222203,"Main Road, Rampur, Mariyahu,"
12549,Ortho Hospital,Nirmal Orthopaedic Hospital,Anand,Gujarat,388620,"Near S T Stand, Cambay, Khambhat"
12550,Ortho Hospital,Nirmal Orthopaedic Hospital,Rajkot,Gujarat,360490,"Shahid Arjun Road,."
12551,Nurshing Home,Nirmal Polyclinic And Nursing Home,Tiruvallur,Tamil Nadu,600049,"No.2,1St Street, Nethaji Nagarm North Red Hils Roadm Villivakkam, Chennai-"
12552,Hospital,Nirmal Surgical Hospital,Vadodara,Gujarat,390001,"Second Floor, Heramb House, Near Govt Press Kothi, Anandpura"
12553,Nurshing Home,Nirmala Grace Nursing Home,Madurai,Tamil Nadu,625011,"25 &  2, Nehru Street, Jaihindpuram, Madurai"
12554,Hospital,Nirmala Health Care,Dakshina Kannada,Karnataka,575020,Ullala
12555,Hospital,Nirmala Hospital,West Godavari,Andhra Pradesh,534447,"Elur Road, Janga Reddy Gudens"
12556,Hospital,Nirmala Hospital,Shivamogga,Karnataka,577201,Shathaveri Gopalgowda Marg
12557,Hospital,Nirmala Hospital,Kollam,Kerala,691531,Pallickal P.O Kottarakara
12558,Hospital,Nirmala Hospital,Kanniyakumari,Tamil Nadu,629152,"Karungal P.O.,"
12559,Hospital,Nirmala Hospital,Namakkal,Tamil Nadu,638183,"276, Salem Main Rd,Opp To Ananvoor Road Corner,Trichangode (Tk)."
12560,Hospital,Nirmala Hospital,Nalgonda,Telangana,508213,"Suryapet,Nalgonda"
12561,Hospital,Nirmala Hospital and Research Center,Jaipur,Rajasthan,302005,"J-62 Krishna Marg, C-Scheme, Jaipur"
12562,Hospital,Nirmala Hospitals,Chittoor,Andhra Pradesh,517501,"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati,"
12563,Ortho Hospital,Nirmala Maternity And Orthopaedic And General Hospital,Hyderabad,Telangana,500057,10-3-76/10 2/3Rt Vijaya Nagar Colony
12564,Hospital,"Nirmala Medical Centre,",Ernakulam,Kerala,686661,"Kizhakkekara,Near Pvt. Bus Stand"
12565,Nurshing Home,Nirmala Nursing Home,Bengaluru Urban,Karnataka,560037,"Kishan Arcade, Ferns City Road, Doddanekkundi, Outer Ring Road,"
12566,Nurshing Home,Nirmala Nursing Home,Karur,Tamil Nadu,639001,"9-D/12, East Ramakrishnapuram,"
12567,Nurshing Home,Nirmala Nursing Home,Hardoi,Uttar Pradesh,241001,Railway Gunj
12568,Hospital,Nirmay Mother Care Centre,Mumbai,Maharashtra,400066,"Shimpoli,Borivali"
12569,Hospital,Nirmit Hospital,Anand,Gujarat,388540,"Nirmit Hospital, Above Satsang Mandal Hall, Patel Chakla, Borsad. -Anand"
12570,Nurshing Home,Nirog Dham Nursing Home,Neemuch,Madhya Pradesh,458441,"No. 216, Vikas Nagar, Nimach"
12571,Nurshing Home,Nirog Nursing Home,Katihar,Bihar,854105,Ram Para Chowk
12572,Hospital,"Nirogdham Hospital, Jhalawar",Jhalawar,Rajasthan,326001,Bus Stand Jhalawar
12573,Hospital,Niron Hospital and Research Center,Mumbai,Maharashtra,400098,"Kadamwadi, Off.St Anthony, St.Santacruz(East), Near Vishwakarma Samiti Hall"
12574,Seva sadan-General Hospital,Nirupama Seva Sadan - Naihati,North 24 Parganas,West Bengal,743166,"460 / 2, R. B. C. Road, Laldighi, Garifa"
12575,Neuro Hosp,Nirvan Neuro Psychiatric Hospital,Faizabad,Uttar Pradesh,224001,"Ismailganj, Faizabad Road"
12576,Hospital,Nisa Genral and Welfare Hospital,Azamgarh,Uttar Pradesh,276404,"Samaudhi, Islampura,Mubarak Pur,Azamgarh,"
12577,Hospital,Nisarg Hospital and Sonography Centre,Bhavnagar,Gujarat,364710,"Paliyad Road, Botad"
12578,Ortho Hospital,Nisarg Orthopaedic and Maternity Hospital,Vadodara,Gujarat,390006,"B-1, Panchsheel, Near Zavernagar Society< Harni Varasiya Ring Road"
12579,Hospital,Nisargopchar Gramsudhar Trust,Pune,Maharashtra,412202,Uruli Kanchan
12580,Hospital,Nisha General Hospital (P) Ltd.,East Singhbhum,Jharkhand,831018,"Main Road, Jawhar Nagar, Mango"
12581,Nurshing Home,Nisha Maternity And Nursing Home,Hyderabad,Telangana,500004,"11-5-80,Bazar Ghat X Roads"
12582,Hospital,Nisha Nuesing Home,Dehradun,Uttarakhand,248001,"7,Indira Nagar Colony,Dehradun"
12583,Nurshing Home,Nishamani Nursing Home,Cuttack,Odisha,753001,"Bajrakabati Road, Cuttak"
12584,Hospital,Nishant E N T Hospital,Ahmedabad,Gujarat,380006,"11, Ashirwad Avenu, Opposite Cocharab Ashram, Pritamnagar, Paldi"
12585,Hospital,Nishant Hospital,Sabar kantha,Gujarat,383001,"OppositeMehta Petrol Pump, Near Bus Stop, Himatnagar"
12586,Hospital,Nishant Hospital,Erode,Tamil Nadu,638009,"350,E.V.N Road,Near Pazhamudhir Nailayam,Opp Power House"
12587,Hospital,Nishat Hospital,Lucknow,Uttar Pradesh,226001,"3, J. C. Bose Marg, Lal Bagh"
12588,Nurshing Home,Nishi Nursing Home and Hospital,Sheikhpura,Bihar,811105,"Sation Road, Professors Colony"
12589,Hospital,Nishta,Tapi,Gujarat,394651,"1 St Floor, B/104 Vyara"
12590,Hospital,Nishtha Retina Centre,Vadodara,Gujarat,390001,"2Nd Floor, Vinraj Palza, Opposite Govt Press Kothi"
